City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,76.73,74,11,16.35,few clouds
1,Solnechnyy,RU,50.7214,136.6319,12.67,95,100,3.18,light snow
2,Castro,BR,-24.7911,-50.0119,75.43,60,85,3.74,overcast clouds
3,Albany,US,42.6001,-73.9662,30.85,84,91,2.98,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,63.55,84,75,7.61,broken clouds
5,Saint-Augustin,CA,51.226,-58.6502,34.32,84,99,23.71,overcast clouds
6,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,67,95,4.9,overcast clouds
7,Sao Filipe,CV,14.8961,-24.4956,76.8,70,95,14.7,overcast clouds
8,Guozhen,CN,34.3659,107.359,41.0,54,100,8.16,overcast clouds
9,Meulaboh,ID,4.1363,96.1285,74.34,91,100,4.52,moderate rain
10,Goianira,BR,-16.4961,-49.4264,80.42,84,68,5.41,broken clouds
11,Lages,BR,-27.8161,-50.3261,71.51,71,100,5.03,overcast clouds
12,Busselton,AU,-33.65,115.3333,61.63,80,38,7.92,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,47.82,66,75,24.16,light rain
14,Saint George,US,37.1041,-113.5841,77.47,20,1,0.0,clear sky
15,Vila Velha,BR,-20.3297,-40.2925,76.95,83,75,5.75,broken clouds
16,Narsaq,GL,60.9167,-46.05,35.82,99,100,2.95,moderate rain
17,Lompoc,US,34.6391,-120.4579,82.71,24,1,11.5,clear sky
18,Bilibino,RU,68.0546,166.4372,-1.19,98,97,3.0,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,16.36,93,100,12.77,light snow
20,Kenai,US,60.5544,-151.2583,4.77,83,100,8.5,overcast clouds
21,Vaini,TO,-21.2,-175.2,80.76,78,20,10.36,few clouds
22,College,US,64.8569,-147.8028,-20.54,68,40,4.61,mist
23,Hilo,US,19.7297,-155.09,77.47,70,14,11.79,few clouds
24,Noumea,NC,-22.2763,166.4572,82.38,83,55,12.17,broken clouds
25,Ostrovnoy,RU,68.0531,39.5131,15.76,84,100,8.37,light snow
26,Sao Lourenco Do Oeste,BR,-26.3592,-52.8511,67.6,81,100,4.92,light rain
27,Cherskiy,RU,68.75,161.3,-11.42,99,100,6.53,overcast clouds
28,Nome,US,64.5011,-165.4064,-20.4,99,17,4.38,few clouds
29,Talnakh,RU,69.4865,88.3972,-16.1,98,72,2.37,broken clouds
30,Gariadhar,IN,21.5333,71.5833,73.81,42,82,6.33,broken clouds
31,Jamestown,US,42.097,-79.2353,36.72,100,90,16.11,snow
32,Tantoyuca,MX,21.35,-98.2333,70.41,83,98,7.49,overcast clouds
33,Kapaa,US,22.0752,-159.319,78.78,68,2,12.03,clear sky
34,Tasiilaq,GL,65.6145,-37.6368,26.76,96,97,2.39,overcast clouds
35,Bengkulu,ID,-3.8004,102.2655,75.85,85,100,4.72,overcast clouds
36,Tokmak,UA,47.2514,35.7058,52.09,98,100,10.36,overcast clouds
37,Avera,US,33.194,-82.5271,57.25,34,87,9.8,overcast clouds
38,Riyadh,SA,24.6877,46.7219,63.43,34,0,7.87,clear sky
39,Bredasdorp,ZA,-34.5322,20.0403,62.89,81,12,5.19,few clouds
40,Itacare,BR,-14.2775,-38.9967,76.21,86,100,9.31,overcast clouds
41,Kaitangata,NZ,-46.2817,169.8464,58.39,50,100,6.93,overcast clouds
42,Sur,OM,22.5667,59.5289,73.51,59,0,0.89,clear sky
